ID,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC_8,CC_9,CC_10,CC_11,CC_12,CC_13,CC_14,CC_15,CC_16,CC_17,CC_18,CC_19,CC_20,CC_21,CC_22,CC_23,CC_24,CC_25,CC_26,CC_27,CC_28,CC_29,CC_30,CC_31,CC_32,CC_33,CC_34,CC_35,CC_36,CC_37,CC_38,CC_39,CC_40,CC_41,CC_42,CC_43,CC_44,CC_45,CC_46,CC_47,CC_48,CC_49,CC_50,CC_51,CC_52,CC_53,CC_54,CC_55,CC_56,CC_57,CC_58,CC_59,CC_60,CC_61,CC_62,CC_63,CC_64,CC_65,CC_66,CC_67,CC_68,CC_69,CC_70
s0533_re_0,-0.003367112447433988,-0.007207356752964827,-0.017953310093868365,-0.027773232416213402,-0.03918608833737895,-0.0494177682728495,-0.057344467441777916,-0.06048091197046066,-0.059007309449628634,-0.04874195550921965,-0.03214580157722641,-0.01054175706368965,0.010281933967867547,0.026155090705137916,0.0346654153015643,0.035294713787640916,0.031019788404258213,0.023621188191980353,0.01492285958191203,0.005791135905543918,-0.004016526770183048,-0.012369482184466407,-0.01866796227498869,-0.02087532584151562,-0.01854899642711381,-0.012056214631129375,-0.003999181296413721,0.002859694042264108,0.007938143825531619,0.010222830356502947,0.010105084802339273,0.007988822861773055,0.005053984127161511,0.0027543192812316533,-0.00023887112052855072,-0.0031571244423521886,-0.004523447284887746,-0.004616692152259835,-0.004188079162606808,-0.0030319672374079774,-0.0013115900618630239,0.0005095488957179736,0.0015000800376236021,0.0016463845288641201,0.001783150022535433,0.0013022791823303422,0.000572945091348656,0.0004075677668402529,0.0003352537239368064,2.627598423311234e-05,1.2015647832573164e-06,-8.04593569714975e-05,-0.00025026177796217563,-0.00029364799467982875,-0.0003243329110265317,-0.0004623125989877833,-0.00041029102660087034,-0.00034699041105751185,-0.00030399282722415446,-0.00016721720242004353,0.0003253917236387716,0.0004233440106955681,0.00039887933189472144,0.00032704767245825267,0.00041986558800552996,0.00032792878476410625,0.0002854712738662915,-5.821332996890037e-05,-8.682854275166456e-05,-0.0002849894264477535
s0533_re_1,-0.023704462098853483,0.034787604691455205,-0.05011517448404009,0.025390203691165226,-0.06992679851244198,0.014648376980258265,-0.07093962198077852,-0.024238432013098568,-0.055017816947013846,-0.03834345907991559,-0.06106904536200672,-0.028724140317697582,-0.03336588618528289,-0.036190792348086046,0.009970261434176415,-0.003977638483710776,0.012987263602169858,0.02999299591206927,0.030648451291102354,0.018753142832024356,0.03418519202307764,0.024239253662133493,0.008464600433051035,0.016452340922740807,0.007949614602716957,-0.0069519450811780185,-0.0035542292452514137,-0.008082660109756076,-0.019426710696413062,-0.01566098196874274,-0.013179221759655335,-0.016490976404087525,-0.008900437079553859,-0.0015763400380810148,-0.0014051781471904514,0.004115825136915068,0.009032667808225099,0.007044521894958921,0.007398481248711515,0.008777020789659227,0.0052416346210232,0.002997793471918687,0.0032433832630786694,-7.298857580015426e-05,-0.0022723624112720264,-0.0019858339869646096,-0.0035895609989870006,-0.00443188488489079,-0.0028584414671728713,-0.0027399863583715176,-0.002431740277810978,-0.00045195395223872266,-9.061082399813063e-05,0.000399102201417321,0.001683113914523554,0.001434711065831255,0.0011320174248793857,0.0013200466904193314,0.0008992956037450105,0.00044990789839448726,0.0005365998006566806,0.0002738858792511384,7.254912885185163e-05,0.00023552681233344352,0.00021642136984425823,3.095064740058248e-05,-7.206294957686903e-05,-0.00016580377598288668,-0.00018648922866558817,-0.00011170994612186587
s0533_re_2,-0.02334726717612716,0.03462865727362456,-0.04698383565117211,0.02461232332069406,-0.06481839708612357,0.015474645156431861,-0.07004885721841063,-0.018753886497330778,-0.05441779838802409,-0.04028047657531549,-0.05824627979557702,-0.030342922181771672,-0.04645920239063507,-0.03369913665159509,-0.0013640109499968222,-0.02130446897586317,0.01378863941330478,0.021892168459804986,0.01907043899362465,0.02698710009009946,0.0379256565617374,0.01794603232034766,0.022037809337135256,0.024694569462776015,0.004453761220682634,0.006697210820303477,0.006118153182130796,-0.009790660042972082,-0.009523952137550086,-0.009440610305078057,-0.019788149101933585,-0.01679884505972595,-0.011422933071650255,-0.014362893388274319,-0.007505526544316561,0.0001835703985882404,-0.00012689994080242634,0.004909337113579836,0.009317182893124545,0.006774619104142082,0.007996282713044237,0.008828848117149582,0.004708555836036546,0.0035583029570147536,0.003148630965975762,-0.0006457331031022311,-0.0016608531671921144,-0.0017020682133895202,-0.0038768491299955247,-0.0037996331697306533,-0.0030319326674024378,-0.0035398191402393466,-0.002409668139044386,-0.0010162492054654776,-0.0007950576287228314,0.0004305642703069106,0.0012962676133831475,0.0012078300310320257,0.0016603048061479752,0.001617543132752965,0.0009787951018431936,0.0009379024841268495,0.0005976077461382446,0.00011986378302756419,0.00044193694728388727,0.0004147050499208907,-5.340777821978361e-05,0.0002758266350997489,-3.673451762356495e-05,-0.0001310518105608113
s0533_re_3,-0.0252455461735499,0.0357175791978171,-0.05237787530994516,0.026095927080194453,-0.06979730375024819,0.016137321725935252,-0.07124067311054795,-0.020636081188139643,-0.05301525001215633,-0.038713551379198206,-0.057796697249231366,-0.02781360261294562,-0.038117893060210024,-0.034736113633911395,0.007056771557796555,-0.013006734343250982,0.013198276605641109,0.027276768186137126,0.023328351906637988,0.02144283235862382,0.03660339326815519,0.01970272259428316,0.013313186530828384,0.02192906227839579,0.004971140449468732,-0.001645673000251433,0.0031129593734360436,-0.00968554638847567,-0.016242503345510445,-0.010797746938169829,-0.016582671448346003,-0.01812325499929701,-0.00888293428138406,-0.007749254108518997,-0.005431610735929902,0.0036210911164358357,0.005662792398481911,0.005547308146887593,0.00975222263191962,0.008738295925917322,0.005396088102694526,0.00600701975595045,0.004187726945415209,0.0007885768569460744,0.000633841979572143,-0.0011570191587789692,-0.003655958311932322,-0.0031632846523330666,-0.0033962884199115733,-0.004192940055636356,-0.002816292771231482,-0.0020899549975487634,-0.0014663173873914182,0.0003398986171478845,0.0008066905122402659,0.000964996812819415,0.0017647659794155634,0.0016091940532625651,0.0012626006297776643,0.0013178051364247496,0.0006347630029629814,8.402394489568881e-05,0.00034178132097792576,0.0001924936894976572,7.267080195714053e-05,0.00027985920846085717,-1.0386523043639362e-05,-0.00018513848063672798,-7.300894068714843e-05,-0.00013687011903271536
s0533_re_4,-0.022913395155020274,0.03444098484706781,-0.04670084928052013,0.02489719754330251,-0.06494603156369863,0.016335881677261587,-0.06963183857393383,-0.01816543129084998,-0.05392140254415358,-0.03797744049547336,-0.058859876235389956,-0.02812712020589762,-0.04421106954524636,-0.033954758384895894,0.0011567195113329845,-0.01802963334866201,0.012536043352970665,0.023704873562574166,0.020714802829011232,0.023232237179282605,0.037611553781409644,0.018631790481204672,0.018084441381650454,0.023909378591392437,0.005212794398262052,0.0024405154913463606,0.00585352606779873,-0.008743864497634367,-0.012793143970237746,-0.008792555959343366,-0.017732282908819626,-0.017975426406122652,-0.009623089469051943,-0.011561650030949461,-0.007822765568414648,0.0012044395857701868,0.0020016607801208305,0.004286630080525772,0.009457211067794099,0.007786507691218861,0.006582823294713413,0.007764124858602965,0.004595389003978472,0.002289083674526922,0.0022774258989717235,-0.00039239982258834085,-0.002377377170432038,-0.0020436078489363446,-0.0034346334593561966,-0.004006904083151682,-0.0026350758865405608,-0.0026860190827260964,-0.002263551143207412,-0.0007413979597083857,-0.00026384603860223516,0.0004664703518780362,0.0014316072649278254,0.0011440355638250973,0.0013047702943619448,0.0014297152580384938,0.0006758255801213925,0.0006417423038484568,0.0005762312489943231,0.0002910809921247022,0.00033195291135254215,0.0003473530001343128,1.5655075756905433e-05,0.0002487679967141916,0.00016869070023374673,4.219485189027556e-06
s0533_re_5,-0.02340867922724286,0.035999776447887995,-0.04797978859562523,0.025767376566647265,-0.06627766471473803,0.015719405241265933,-0.07024759561922954,-0.020297094944318885,-0.05422772985052872,-0.040713024610303086,-0.059003608647596156,-0.030676393397407117,-0.044676194306864085,-0.035097064736863345,0.0018844146375652712,-0.018225031053017024,0.01325931955003564,0.02445966270439756,0.021097731045858308,0.024977229131028348,0.03814369218993415,0.018969981805625466,0.018737859120705313,0.02464163539291942,0.005476994039795005,0.002966541612107669,0.005697200624196405,-0.009613927146716907,-0.012689205309637878,-0.009528848245006029,-0.018974332257668154,-0.018320482474294728,-0.010839743565734992,-0.012181726496947291,-0.007335068567974781,0.0017611066861994173,0.0022088020172840173,0.0047548749877807175,0.009924395456510035,0.008090450525409677,0.006915401189767752,0.008036934944931034,0.004859294342503805,0.002379047402746049,0.0022289171796277467,-0.0006448983308884303,-0.002547658319800243,-0.0022858887788476524,-0.0037110131945299195,-0.0042701741289585815,-0.0029000366449194997,-0.0029510117158946456,-0.00231214853747507,-0.0004961902879856202,-7.03630072937059e-05,0.0005008782299645054,0.0016306443602719276,0.0014201056130696919,0.0014072000989434666,0.001591946032815451,0.0009215163212132816,0.0005797916686229046,0.0006609144819517413,0.00020858877290978677,0.0002770671106646316,0.0003157659933996282,2.6606565322683918e-05,-2.4174119609514014e-05,9.859787654594324e-05,-0.0002493676351697991
s0533_re_6,-0.0257724118844614,0.036302103349926534,-0.052347141505846115,0.02617398211415047,-0.07100982424143763,0.015410055107508302,-0.07075391721379683,-0.023361972246249973,-0.053834221867700455,-0.03924488501313902,-0.05940975655767598,-0.028551706823452167,-0.036279077912713016,-0.035539203026656405,0.008975308206827425,-0.009342514809780964,0.013338523256163009,0.029241282232770106,0.02685310020171165,0.020792058895962775,0.03626372928597722,0.022039536508363607,0.01039201337555949,0.019761208434652327,0.006013258517415049,-0.0047713702818981615,0.0006644561622399305,-0.00892588633283777,-0.01846106508645592,-0.012791579078392963,-0.01516123859914355,-0.018403518894341518,-0.008998713002855378,-0.004853078656735619,-0.004046501100210708,0.004191555560330621,0.008009538808489217,0.006478605108861554,0.00912343733526097,0.009092301356902921,0.0053674408965895285,0.005194824122319814,0.003735368143224923,-0.00014830589913679122,-0.0007889317801828028,-0.0015568136818643022,-0.004114696052573859,-0.004071052154972826,-0.0033397732770862262,-0.003851394969495887,-0.0026988976498734827,-0.0012880522087723287,-0.0007871172210264294,0.00044172914137310704,0.0013095513114489304,0.0012706927292196028,0.0019043464431634971,0.0018190550486043876,0.0011143060729094502,0.0008936606479309421,0.00047460763085341003,0.00010918257346703978,0.0003993775739298564,0.0001539188407762936,-0.00017197373733828541,0.00011834818235241793,9.327386742466699e-05,-0.00035864769774184366,-0.00011047458325310036,-0.0001771574311038274
s0533_re_7,-0.024729403702248545,0.03460967333540798,-0.05034589830302789,0.025222501323533705,-0.07047115855730426,0.014419245707131587,-0.07058925158612772,-0.024742720387442223,-0.05481598987891077,-0.03709332073565908,-0.06151942167683056,-0.027497937599313797,-0.03145607720343076,-0.03545262472668698,0.010712267201210894,-0.0011846572057971352,0.012526676183971372,0.02999914654124917,0.03202441481980554,0.017947012671801144,0.0325102451530024,0.024511585231212035,0.00733731733193307,0.0144158241232766,0.008144564335858204,-0.007829916547253103,-0.004882034791185937,-0.008005519032989114,-0.019633440005332077,-0.016035448414931576,-0.012302875100828729,-0.015373653781438975,-0.008828975039563761,-0.0005715088585413751,-0.00020413277797201885,0.004197228713522,0.009999108487457973,0.007315060510241106,0.006819838890924017,0.008492506305327325,0.004948119162402784,0.002663541227060841,0.0025688211545325363,-0.0002908662815671202,-0.0029613760910922027,-0.002345739938631481,-0.00341579886374155,-0.004584462241926719,-0.002873833598577774,-0.002512831919732904,-0.002255680383002557,-0.0003086580178588787,0.00058587168817503,0.0006496807033454876,0.0014668854880488676,0.0016506107219727072,0.0012079026793811285,0.0012179431659848524,0.0008607839461375059,0.00030634391529054636,0.00025744702924658525,0.00021761205761321962,0.00011395357833243705,0.0002751883203778766,0.00017492925847671696,-0.00022001699718493344,-0.0001602228894749154,-0.00023736099951201744,-0.00038433014759421864,-0.00020183434627662263
s0533_re_8,-0.023364494885580664,0.032284827536560146,-0.047250615851400175,0.022536648376147633,-0.06499497730699708,0.01445945261929139,-0.07087425270573898,-0.0181400133216138,-0.054659308531880085,-0.039804701140384334,-0.057075481966959864,-0.02902839780190028,-0.046751729955262555,-0.03127649136449253,-0.0008921273665601627,-0.020719010896585947,0.015812933663631047,0.021975755492162057,0.01951215434891164,0.02843364730987142,0.0375735115204458,0.017680278147947266,0.023283011549160196,0.023521366465167084,0.003269928786869562,0.006990680969271384,0.004925008335954713,-0.011093930812528978,-0.009260819005664875,-0.009868468137555429,-0.02005302669891046,-0.016088688291609383,-0.011658029485110093,-0.014687773729761119,-0.007139868672081955,-0.00026343226781271376,-0.0001956971455673901,0.005738216244405386,0.009721689607203621,0.007106148305089977,0.008763161959609638,0.008932804362642207,0.004444534899438359,0.003900897212262233,0.002879355156111487,-0.0009837478051078095,-0.0016159344095199582,-0.0022382340265778215,-0.00413769204526555,-0.0037088270556640164,-0.003338004348232045,-0.0037019750102213725,-0.0021567633702641196,-0.0010110511103090158,-0.0009857616483909604,0.0004638913293807181,0.0015248521906637157,0.0012783934175034657,0.0017036370081116587,0.0018287726992842147,0.0010530722014924624,0.0012059957968264118,0.0007421805069626718,0.00013281943434885767,0.00024405051367602784,0.00011595364987601421,3.313446726069389e-05,0.0002749592296306111,-0.00010883683042792621,7.817135705372244e-05
s0533_re_9,-0.023544729289908604,0.03353114628855733,-0.04823553764878786,0.023850130417812837,-0.06410986902605159,0.016590046193803863,-0.07047931714771331,-0.014432847514954618,-0.05419858668186551,-0.038383182214265135,-0.05481571769943009,-0.029456159616297092,-0.048782723268839964,-0.029914044649578905,-0.006575932105915645,-0.02492594594248899,0.015274761136983395,0.01468309070643135,0.016100893059701603,0.029835504465647693,0.03385189424692425,0.017274645682147052,0.028528465411863116,0.02246975211744055,0.005028432193065308,0.013130212178090612,0.004741709677216924,-0.008420911260960612,-0.0028719871122967673,-0.009803127710477415,-0.018882752395862155,-0.012370685451015655,-0.014635358346037453,-0.017216172591619543,-0.007971656891600133,-0.005424685631833683,-0.003572115707626567,0.004829709891910977,0.006317273648516581,0.005982484768165941,0.010120931929185327,0.008373251599708073,0.005701946544166183,0.006731563265892095,0.003650713184203931,0.000668711072526183,0.0009827061658091913,-0.0014841360857574678,-0.0034836719283808815,-0.002750419187837702,-0.003911568108865219,-0.004264416078784667,-0.00269014897797047,-0.002720146094748729,-0.0018923588768210682,-0.00012462906891177588,0.00026086408634029546,0.0010047405918553814,0.0018127412879952048,0.0014593770033866276,0.0015401281724576807,0.0016010828709063208,0.0008342912128911711,0.0007883293348373747,0.0006699296151695772,0.0001728462665157617,0.0002366533206857998,0.00023499239186614032,-9.572513573654509e-05,0.00015445802287923795
