ID,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC_8,CC_9,CC_10,CC_11,CC_12,CC_13,CC_14,CC_15,CC_16,CC_17,CC_18,CC_19,CC_20,CC_21,CC_22,CC_23,CC_24,CC_25,CC_26,CC_27,CC_28,CC_29,CC_30,CC_31,CC_32,CC_33,CC_34,CC_35,CC_36,CC_37,CC_38,CC_39,CC_40,CC_41,CC_42,CC_43,CC_44,CC_45,CC_46,CC_47,CC_48,CC_49,CC_50,CC_51,CC_52,CC_53,CC_54,CC_55,CC_56,CC_57,CC_58,CC_59,CC_60
s0533_re_0,-0.0033000789882743076,-0.007110822715336592,-0.017819559842217867,-0.027677157240447007,-0.03905328860044333,-0.04932261207784259,-0.05721325360497398,-0.06038713738636499,-0.0588783194389157,-0.0486500289274383,-0.03201967683240851,-0.010452149884188945,0.010404547555971968,0.02624190082296633,0.034783866490176694,0.035378241657492815,0.03113341972532246,0.02370093979387788,0.01503100647590865,0.005866607003979278,-0.0039145368499086805,-0.01229880755135317,-0.01857281084583702,-0.02080997708041911,-0.018461375136959172,-0.01199673663283665,-0.003919793388558215,0.0029127383813859434,0.008008581555938032,0.010268856900398315,0.010165839292989205,0.00802722195742751,0.005104302189251167,0.0027844499590876466,-0.00019976836552462374,-0.0031359424953370366,-0.004496372498386379,-0.00460518990479703,-0.004173890655847627,-0.003030942537580435,-0.0013112093582830393,0.0004992076105781308,0.0014856418801893997,0.001623662813634177,0.0017527522521110209,0.0012659822324581824,0.0005252544494826644,0.0003562341233813185,0.0002686427763760361,-4.196565749212569e-05,-8.642383412244387e-05,-0.0001681420513350545,-0.0003617753268916574,-0.0004044465437498471,-0.0004640123687441031,-0.0006020690762276642,-0.0005852673833872383,-0.0005263312811047211,-0.0005286784223743607,-0.0004107622893624695
s0533_re_1,-0.023683498238332355,0.03480988379258419,-0.05007335822981039,0.02541236395803419,-0.06988531748704747,0.014670298688507423,-0.07089870244680371,-0.024216870384149686,-0.05497768938671129,-0.038322381786583516,-0.06102994627749352,-0.028703675343101073,-0.0333280600185171,-0.03617107246677771,0.01000656021602407,-0.003958802425588587,0.013021768200373261,0.030010802166829092,0.030680879978494162,0.01876976458702639,0.034215245167534825,0.024254525816388917,0.008491957024994357,0.016466085992514614,0.007973928131867175,-0.006939919320026575,-0.00353333577334345,-0.008072563480501614,-0.019409650892721158,-0.015653045421149203,-0.013166453538210415,-0.016485456445592035,-0.008892472478880371,-0.0015735244055582651,-0.0014025961376114716,0.004115610072013596,0.009029204252679985,0.0070409012490736935,0.007388201836480926,0.008769557677728235,0.005223629027313396,0.0029859700923292065,0.0032165537644556355,-8.979827793476777e-05,-0.0023093720729079783,-0.0020084052475171574,-0.003638477268314036,-0.004461206036478411,-0.0029215460297611615,-0.0027773639422793055,-0.0025121988468609457,-0.0004991972501492216,-0.0001931138269761605,0.0003393281572308885,0.001550929757236875,0.0013581246489029958,0.0009557217975250839,0.0012187858345426334,0.0006428531041028269,0.0003055618353419849
s0533_re_2,-0.023297646752293014,0.034717490971073586,-0.04688485368833983,0.024700723798768198,-0.06472019362167626,0.01556217625899681,-0.06995195743133067,-0.01866766685155088,-0.05432273684744246,-0.04019601948700291,-0.05815360446339156,-0.030260691030916064,-0.04636947888626864,-0.03361961059159526,-0.001277827175968922,-0.021228146743294467,0.013870668165629605,0.021964764320124102,0.019147664309792686,0.02705541845991788,0.03799739035296194,0.01800948804303185,0.02210331622769335,0.02475253697065145,0.0045122495514049055,0.0067490165787141045,0.006168764196727884,-0.009745746646319687,-0.009482157515623745,-0.009403388134894122,-0.019756206726876224,-0.016770195183676763,-0.011401996438576013,-0.014343796817556213,-0.007496893759409102,0.00019200970054814988,-0.00013204932918800007,0.004905861745782434,0.00929654467036911,0.006757776870827605,0.00795815391864086,0.008796934404858828,0.004650544271404863,0.0035092779411276935,0.003067812777057666,-0.0007143678086966018,-0.0017681514863292897,-0.0017934615529016447,-0.004015405255211397,-0.0039179001687219385,-0.0032082443914644427,-0.003690596804986146,-0.0026331216243328085,-0.0012077713207729285,-0.0010804334533751115,0.00018509763320864256,0.000922305053239517,0.0008838628930661901,0.0011357064168830862,0.0011545253660527205
s0533_re_3,-0.025216378986372336,0.035730906232028375,-0.05231969312082585,0.02610918596402126,-0.06973957921559672,0.016150443820731657,-0.07118371501612417,-0.020623165505925287,-0.052959372739835545,-0.03870091323185224,-0.057742223163296004,-0.027801315162174364,-0.03806515505107604,-0.03472425265945061,0.007107427312794211,-0.012995378872500626,0.013246487592000351,0.02728753518149907,0.023373735842662217,0.02145292317915954,0.036645544179901124,0.019712043917154018,0.013351670182043562,0.02193751411683469,0.005005488927745783,-0.0016381985253961545,0.00314266456450095,-0.009679166522621819,-0.016217997763402398,-0.010792590090339045,-0.016563980004626788,-0.018119462970566935,-0.008870742442499061,-0.007746984902765325,-0.005426691435370147,0.003621659683103808,0.005659556826745841,0.005545973721580244,0.0097398106510563,0.008734825305561312,0.005373297383795585,0.006001140256542732,0.004153114526108183,0.0007799642107556068,0.0005856350143149376,-0.0011687582731351631,-0.0037200015213585827,-0.0031786386846660982,-0.0034791066121396975,-0.004212533060838545,-0.0029219225949169494,-0.0021146124794769695,-0.0016006635464277529,0.0003090363798180728,0.0006341782198059301,0.000926266042539209,0.0015366731559823602,0.001559993052740938,0.0009372208640323497,0.0012537534326320103
s0533_re_4,-0.02286892356109813,0.03452207094603406,-0.04661211955637263,0.024977915878353015,-0.06485794366449708,0.01641586213451095,-0.06954482518749722,-0.01808656356436107,-0.05383590365389641,-0.037900067561151475,-0.0587763422209423,-0.028051633928529152,-0.04412996447696755,-0.03388156320509503,0.0012349143110087276,-0.01795914929452266,0.012610825393184364,0.023772207549251835,0.02078564406968695,0.02329595950790648,0.03767789564913807,0.018691412648103665,0.018145689002561863,0.023964380229961994,0.005268309811265187,0.00249033853003629,0.00590262010123248,-0.008699822846940972,-0.012751221590442556,-0.008754951761496117,-0.01769835581868864,-0.01794497963826071,-0.00959807014145928,-0.011539158040296902,-0.007807675228228236,0.001218084720138493,0.002005665987693815,0.004290418676766763,0.009448804898540376,0.007779281636070712,0.0065604608904471845,0.007744534964988262,0.004557238002341472,0.0022555289225744376,0.002221265211608372,-0.0004418619288027295,-0.002454312298095866,-0.002111399212376863,-0.0035359008697115053,-0.004096149576184425,-0.00276545458781609,-0.0028009338664028603,-0.002429841075317328,-0.0008880209554482957,-0.00047655094648346334,0.0002787012283868167,0.0011540333463931354,0.0008981768417763894,0.0009211125314170562,0.0010861781896492823
s0533_re_5,-0.023357013325340452,0.03605030555358246,-0.0478767152518969,0.025817644745230708,-0.06617536854447266,0.015769149708684045,-0.07014660074770024,-0.02024814071941546,-0.05412856953178111,-0.04066513286544025,-0.05890682915076675,-0.030629844142399054,-0.04458235905221621,-0.0350521479715896,0.0019747205988066255,-0.018182049189710406,0.013345484598183983,0.02450039214966339,0.021179111456075678,0.025015370496518117,0.03821960581644943,0.019005177787911193,0.018807578068737407,0.024673502961172378,0.005539736017408634,0.002994667152983038,0.005752118560816911,-0.009589993696123365,-0.012643035942769314,-0.009509600609100954,-0.01893792921102222,-0.018306467061435946,-0.010814237774588896,-0.012173553896564531,-0.007321729933419663,0.0017627467633480661,0.0022085306238549345,0.004749193878743237,0.009908852289461086,0.008076533668609567,0.00688264202705614,0.008013704285900319,0.004807001692620234,0.00234520732918247,0.0021542660623330373,-0.0006909415606841283,-0.002648207287834953,-0.002346152364446636,-0.003842049701031955,-0.00434730426434842,-0.003067783041404215,-0.0030486441885441075,-0.002525561414969293,-0.0006196424687100429,-0.0003434875384234635,0.00034310089863670855,0.0012726120780825018,0.0012123298327063321,0.0009061784883982037,0.00129648281277513
s0533_re_6,-0.025750376909007805,0.0363000302164688,-0.052303187063260474,0.026171890429299804,-0.07096621716508857,0.015407926010567475,-0.07071089190093402,-0.023364158241844388,-0.053792017000353826,-0.039247148351269204,-0.05936861692991156,-0.02855406926007508,-0.036239256378642185,-0.03554168801753593,0.009013548618465242,-0.009345147942726346,0.01337490700514224,0.029238472746993312,0.026887336607624344,0.02078904165618863,0.03629550951883775,0.022036276256033008,0.01042100694993828,0.019757665257017342,0.006039109136522219,-0.004775241918877194,0.0006867767046246866,-0.008930138777104274,-0.018442698722468284,-0.012796272986523775,-0.015147295192041428,-0.01840872513672193,-0.008989715815027584,-0.004858880789475459,-0.004043040626930611,0.004185058026250061,0.008006787903997456,0.006471292292969702,0.009113693185808984,0.009084026908528085,0.0053497822505128925,0.005185406568215171,0.003708688017149929,-0.00015909579466632677,-0.0008259952771214183,-0.0015692720267089905,-0.00416386747563363,-0.004085572016161564,-0.003403316753314899,-0.0038685161213589626,-0.0027799273018050577,-0.0013085485512605458,-0.0008901918187220894,0.0004166834400518202,0.0011771413745540267,0.001239171985112003,0.0017292296822039451,0.00177751293862919,0.0008649770156440092,0.0008341052082437256
s0533_re_7,-0.024724811657080036,0.03461134443881715,-0.05033675347092342,0.025224128320716813,-0.07046213188742458,0.014420783936738594,-0.07058042315308918,-0.024741316709283943,-0.054807441735614436,-0.037092099107939,-0.06151123870453067,-0.027496947868200425,-0.03144834802440544,-0.03545191977350818,0.010719449224607104,-0.0011842937106059089,0.012533211834929184,0.02999910723629002,0.03203019776112563,0.01794650356857342,0.03251516046319093,0.024510532511739878,0.007341239782634873,0.014414145763575746,0.00814735632976178,-0.00783231245563536,-0.004880525731678451,-0.008008736349500589,-0.019633384350235112,-0.0160396055378965,-0.012304465238899828,-0.015378886946411914,-0.00883243032545234,-0.0005779764210487242,-0.00020970615069388902,0.004189340605065185,0.009991121636203795,0.007305530235023803,0.006809088547620348,0.008481066120833094,0.004934183540816502,0.0026498620955498725,0.0025511817725902765,-0.00030719699437667034,-0.0029833719465282784,-0.0023652524479389064,-0.003442997131530273,-0.004607858405735288,-0.0029073711459944858,-0.002541075854192176,-0.0022971578865748463,-0.0003431382468980128,0.0005340559333055272,0.0006068353712317564,0.001400807386961684,0.0015958400095655778,0.0011201983201067397,0.0011444580703647272,0.0007336272296512234,0.00019782988809730753
s0533_re_8,-0.023314339533246298,0.032385971331845134,-0.047150575641124036,0.0226372843078612,-0.06489575054092742,0.0145590693174562,-0.07077638825330752,-0.018041934302921454,-0.05456336525220234,-0.03970868902208192,-0.056982032971141745,-0.028934996481576464,-0.04666136715195394,-0.031186263604670198,-0.0008054663973432837,-0.020632542899405477,0.015895247970084847,0.022057849001614577,0.019589441843703308,0.028510717338271506,0.037645049718673676,0.01775163483010202,0.02334802746744229,0.023586271345807402,0.003327589285467535,0.007048337830017265,0.004974408496890273,-0.01104438704067149,-0.009220670105514401,-0.00982798500816554,-0.020023223712995437,-0.016058312908734326,-0.011639793290525412,-0.01466867451179496,-0.007134575476293627,-0.00025692726111932067,-0.0002049169546030518,0.005730621724075438,0.009696140951153474,0.0070827104132407505,0.008719150518576602,0.00889146899852607,0.00437950524205567,0.0038391964503422383,0.0027901771061284897,-0.0010688508992515195,-0.0017332027066232416,-0.0023505885480520324,-0.004288189971359206,-0.0038534969482839827,-0.003528740077529263,-0.003885954939231105,-0.002397888345920167,-0.001244664973229824,-0.0012933051525399408,0.00016387108847458554,0.0011219136595710703,0.000880229853354436,0.0011379417694832514,0.0012525645358006134
s0533_re_9,-0.023471147843409514,0.03367865673912897,-0.048088774525953504,0.023996883809050858,-0.06396430808819471,0.01673528021683914,-0.0703357694866234,-0.014289905762777264,-0.05405787803207167,-0.03824332176782907,-0.05467869468539162,-0.029320191484731726,-0.04865026006649542,-0.029782808087135227,-0.006448937673989429,-0.024800315296824502,0.015395335068322859,0.014802198387246855,0.016214043010210573,0.029947120840675235,0.0339565547225983,0.017377741250192636,0.028623496974350352,0.022563224698220006,0.005112607358945546,0.013212873243620847,0.004813695972147764,-0.008350353075639607,-0.002813647866174682,-0.009746086836413042,-0.018839669841156315,-0.012328724637090721,-0.014609326218986876,-0.01719103500551808,-0.0079646951571183,-0.005418336469364227,-0.0035865261228712904,0.004815028320483502,0.006278832546343487,0.0059441783819418345,0.010055340947457676,0.008308270657818726,0.0056054775671494665,0.0066362533263214975,0.003518809963009794,0.0005385913718887798,0.0008096462187842547,-0.0016547167103349452,-0.003705326747957065,-0.0029688457711132057,-0.004191925979758725,-0.004540795254605074,-0.003043799315161518,-0.0030692011866777667,-0.0023422654682769494,-0.0005698272530003318,-0.0003267642657615416,0.0004202841312724054,0.0009904088355182454,0.0006323438656430287
